실험,조건,F1,AP,기준_대비_ΔF1,기준_대비_ΔAP,결정,사유
문제1-A,"수치형10 + 범주형7 (baseline, min_freq=20, leaf=20)",0.5763718309416042,0.7371259446989956,,,채택,이후 모든 실험의 기준선으로 사용
문제1-B,수치형10만,0.6186219110103182,0.7247649888558664,0.042250080068714,-0.01236095584312924,기각,AP가 기준보다 낮음 — 범주형 유지
문제2-A,기준 + has_page_value,0.6464950807452569,0.7498015182417382,0.0701232498036527,0.012675573542742624,채택,"F1·AP 모두 뚜렷하게 개선, EDA 근거와 일치"
문제2-B,기준 + total_pages,0.5796920549749172,0.7398526353871765,0.0033202240333130018,0.0027266906881808772,기각,"개선폭이 폴드 변동폭 이내, 기존 피처와 중복"
문제3-누수,"기준+has_page_value + combo 타깃인코딩(전체데이터, 누수)",0.5958046035727811,0.7481409371803427,0.01943277263117693,0.011014992481347075,기각(사용 금지),검증 폴드 정답이 피처 계산에 유입된 누수
문제3-교차적합,기준+has_page_value + combo 타깃인코딩(TargetEncoder),0.5687451814366964,0.7355642693579328,-0.007626649504907768,-0.0015616753410627737,기각,누수 제거 후에는 기준 대비 실질 개선 없음
문제4-GridSearchCV,"기준+has_page_value, {'clf__min_samples_leaf': 5, 'pre__cat__min_frequency': 10} (n_estimators=300 최종)",0.6542979396827014,0.7514790892179788,0.07792610874109729,0.014353144518983174,채택 (최종 모델),전처리·모델 하이퍼파라미터 동시 탐색 결과 AP 최고 조합
